iter	Passed	Remaining
573	3835	2846
574	3841	2839
575	3847	2832
576	3853	2825
577	3859	2817
578	3865	2810
579	3870	2802
580	3877	2796
581	3885	2790
582	3892	2783
583	3898	2777
584	3904	2769
585	3909	2762
586	3916	2755
587	3922	2748
588	3928	2741
589	3935	2734
590	3943	2728
591	3948	2721
592	3956	2715
593	3962	2708
594	3967	2700
595	3972	2692
596	3980	2686
597	3987	2680
598	3994	2673
599	4000	2666
600	4005	2659
601	4012	2652
602	4018	2645
603	4025	2639
604	4031	2632
605	4038	2625
606	4044	2618
607	4051	2611
608	4057	2605
609	4064	2598
610	4071	2591
611	4078	2585
612	4084	2578
613	4091	2572
614	4099	2566
615	4105	2559
616	4112	2552
617	4118	2546
618	4125	2539
619	4132	2532
620	4140	2526
621	4146	2520
622	4153	2513
623	4161	2507
624	4168	2501
625	4175	2494
626	4181	2487
627	4188	2481
628	4198	2476
629	4207	2470
630	4213	2464
631	4219	2457
632	4226	2450
633	4234	2444
634	4240	2437
635	4246	2430
636	4253	2423
637	4260	2417
638	4268	2411
639	4274	2404
640	4281	2397
641	4289	2391
642	4295	2384
643	4303	2378
644	4310	2372
645	4317	2365
646	4324	2359
647	4331	2352
648	4337	2345
649	4345	2339
650	4355	2334
651	4365	2330
652	4372	2323
653	4379	2317
654	4386	2310
655	4392	2303
656	4399	2296
657	4405	2289
658	4412	2283
659	4419	2276
660	4426	2270
661	4432	2263
662	4440	2256
663	4447	2250
664	4454	2243
665	4461	2237
666	4467	2230
667	4473	2223
668	4480	2217
669	4487	2210
670	4493	2203
671	4500	2196
672	4507	2190
673	4514	2183
674	4522	2177
675	4533	2172
676	4540	2166
677	4547	2159
678	4554	2153
679	4561	2146
680	4567	2139
681	4575	2133
682	4582	2126
683	4590	2120
684	4597	2114
685	4603	2107
686	4610	2100
687	4617	2093
688	4623	2086
689	4629	2079
690	4635	2072
691	4641	2065
692	4648	2059
693	4654	2052
694	4660	2045
695	4668	2039
696	4676	2032
697	4683	2026
698	4689	2019
699	4695	2012
700	4701	2005
701	4706	1997
702	4712	1990
703	4718	1984
704	4725	1977
705	4731	1970
706	4737	1963
707	4743	1956
708	4749	1949
709	4754	1942
710	4760	1934
711	4765	1927
712	4771	1920
713	4777	1913
714	4783	1906
715	4788	1899
716	4793	1892
717	4798	1884
718	4805	1878
719	4811	1870
720	4817	1864
721	4823	1857
722	4830	1850
723	4836	1843
724	4841	1836
725	4847	1829
726	4852	1822
727	4859	1815
728	4864	1808
729	4869	1801
730	4874	1793
731	4880	1786
732	4886	1780
733	4892	1773
734	4898	1766
735	4904	1759
736	4908	1751
737	4914	1744
738	4920	1737
739	4925	1730
740	4930	1723
741	4936	1716
742	4943	1709
743	4949	1702
744	4954	1695
745	4960	1689
746	4967	1682
747	4974	1675
748	4981	1669
749	4987	1662
750	4993	1655
751	4998	1648
752	5003	1641
753	5010	1634
754	5016	1627
755	5024	1621
756	5031	1615
757	5037	1608
758	5044	1601
759	5051	1595
760	5058	1588
761	5065	1582
762	5071	1575
763	5078	1568
764	5086	1562
765	5093	1555
766	5098	1548
767	5105	1542
768	5111	1535
769	5118	1528
770	5125	1522
771	5133	1516
772	5142	1510
773	5150	1503
774	5157	1497
775	5164	1490
776	5170	1483
777	5176	1477
778	5183	1470
779	5191	1464
780	5198	1457
781	5205	1451
782	5213	1444
783	5219	1438
784	5226	1431
785	5234	1425
786	5243	1419
787	5250	1412
788	5257	1405
789	5264	1399
790	5271	1392
791	5277	1386
792	5285	1379
793	5292	1373
794	5299	1366
795	5309	1360
796	5318	1354
797	5326	1348
798	5332	1341
799	5338	1334
800	5345	1327
801	5350	1320
802	5356	1314
803	5363	1307
804	5369	1300
805	5375	1293
806	5381	1287
807	5387	1280
808	5393	1273
809	5399	1266
810	5406	1260
811	5411	1253
812	5417	1246
813	5424	1239
814	5430	1232
815	5436	1225
816	5442	1219
817	5448	1212
818	5454	1205
819	5461	1198
820	5469	1192
821	5476	1185
822	5482	1179
823	5488	1172
824	5495	1165
825	5501	1158
826	5507	1152
827	5512	1145
828	5519	1138
829	5525	1131
830	5531	1124
831	5537	1118
832	5543	1111
833	5549	1104
834	5554	1097
835	5560	1090
836	5565	1083
837	5571	1077
838	5578	1070
839	5583	1063
840	5589	1056
841	5594	1049
842	5600	1042
843	5606	1036
844	5614	1029
845	5621	1023
846	5629	1016
847	5640	1010
848	5646	1004
849	5653	997
850	5659	990
851	5666	984
852	5672	977
853	5679	971
854	5686	964
855	5693	957
856	5701	951
857	5707	944
858	5714	938
859	5721	931
860	5728	924
861	5735	918
862	5743	911
863	5750	905
864	5756	898
865	5764	891
866	5770	885
867	5777	878
868	5785	872
869	5795	865
870	5805	859
871	5812	853
872	5820	846
873	5828	840
874	5835	833
875	5841	826
876	5848	820
877	5855	813
878	5862	806
879	5868	800
880	5874	793
881	5881	786
882	5889	780
883	5894	773
884	5899	766
885	5906	759
886	5913	753
887	5919	746
888	5926	739
889	5932	733
890	5938	726
891	5944	719
892	5952	713
893	5959	706
894	5965	699
895	5971	693
896	5976	686
897	5981	679
898	5987	672
899	5993	665
900	5999	659
901	6004	652
902	6008	645
903	6014	638
904	6020	631
905	6025	625
906	6031	618
907	6036	611
908	6041	604
909	6047	598
910	6053	591
911	6058	584
912	6063	577
913	6069	571
914	6074	564
915	6080	557
916	6085	550
917	6091	544
918	6097	537
919	6105	530
920	6112	524
921	6117	517
922	6122	510
923	6128	504
924	6133	497
925	6139	490
926	6144	483
927	6149	477
928	6154	470
929	6160	463
930	6166	457
931	6171	450
932	6177	443
933	6182	436
934	6188	430
935	6194	423
936	6200	416
937	6206	410
938	6211	403
939	6217	396
940	6223	390
941	6229	383
942	6235	376
943	6241	370
944	6249	363
945	6255	357
946	6262	350
947	6268	343
948	6274	337
949	6279	330
950	6285	323
951	6291	317
952	6296	310
953	6302	303
954	6308	297
955	6314	290
956	6319	283
957	6325	277
958	6331	270
959	6336	264
960	6342	257
961	6348	250
962	6353	244
963	6359	237
964	6365	230
965	6371	224
966	6376	217
967	6382	210
968	6387	204
969	6393	197
970	6400	191
971	6408	184
972	6414	177
973	6419	171
974	6425	164
975	6431	158
976	6436	151
977	6441	144
978	6447	138
979	6453	131
980	6459	125
981	6465	118
982	6471	111
983	6476	105
984	6482	98
985	6487	92
986	6493	85
987	6499	78
988	6505	72
989	6510	65
990	6516	59
991	6523	52
992	6529	46
993	6535	39
994	6542	32
995	6548	26
996	6556	19
997	6563	13
998	6569	6
999	6575	0
